relative_path,filename,duration_sec,sample_rate,channels,full_path
fg_s1__zenlong_03_F_native/vc_v2_fg_s1_zenlong_03_F_native_1.0_10_0.7.wav,vc_v2_fg_s1_zenlong_03_F_native_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s1__zenlong_03_F_native/vc_v2_fg_s1_zenlong_03_F_native_1.0_10_0.7.wav
fg_s1__zenlong_07_F_native/vc_v2_fg_s1_zenlong_07_F_native_1.0_10_0.7.wav,vc_v2_fg_s1_zenlong_07_F_native_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s1__zenlong_07_F_native/vc_v2_fg_s1_zenlong_07_F_native_1.0_10_0.7.wav
fg_s1__zenlong_08_F_nonNative/vc_v2_fg_s1_zenlong_08_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s1_zenlong_08_F_nonNative_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s1__zenlong_08_F_nonNative/vc_v2_fg_s1_zenlong_08_F_nonNative_1.0_10_0.7.wav
fg_s1__zenlong_09_F_nonNative/vc_v2_fg_s1_zenlong_09_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s1_zenlong_09_F_nonNative_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s1__zenlong_09_F_nonNative/vc_v2_fg_s1_zenlong_09_F_nonNative_1.0_10_0.7.wav
fg_s2__zenlong_03_F_native/vc_v2_fg_s2_zenlong_03_F_native_1.0_10_0.7.wav,vc_v2_fg_s2_zenlong_03_F_native_1.0_10_0.7.wav,2.41,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s2__zenlong_03_F_native/vc_v2_fg_s2_zenlong_03_F_native_1.0_10_0.7.wav
fg_s2__zenlong_07_F_native/vc_v2_fg_s2_zenlong_07_F_native_1.0_10_0.7.wav,vc_v2_fg_s2_zenlong_07_F_native_1.0_10_0.7.wav,2.41,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s2__zenlong_07_F_native/vc_v2_fg_s2_zenlong_07_F_native_1.0_10_0.7.wav
fg_s2__zenlong_08_F_nonNative/vc_v2_fg_s2_zenlong_08_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s2_zenlong_08_F_nonNative_1.0_10_0.7.wav,2.41,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s2__zenlong_08_F_nonNative/vc_v2_fg_s2_zenlong_08_F_nonNative_1.0_10_0.7.wav
fg_s2__zenlong_09_F_nonNative/vc_v2_fg_s2_zenlong_09_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s2_zenlong_09_F_nonNative_1.0_10_0.7.wav,2.41,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s2__zenlong_09_F_nonNative/vc_v2_fg_s2_zenlong_09_F_nonNative_1.0_10_0.7.wav
fg_s3__zenlong_03_F_native/vc_v2_fg_s3_zenlong_03_F_native_1.0_10_0.7.wav,vc_v2_fg_s3_zenlong_03_F_native_1.0_10_0.7.wav,3.15,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s3__zenlong_03_F_native/vc_v2_fg_s3_zenlong_03_F_native_1.0_10_0.7.wav
fg_s3__zenlong_07_F_native/vc_v2_fg_s3_zenlong_07_F_native_1.0_10_0.7.wav,vc_v2_fg_s3_zenlong_07_F_native_1.0_10_0.7.wav,3.15,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s3__zenlong_07_F_native/vc_v2_fg_s3_zenlong_07_F_native_1.0_10_0.7.wav
fg_s3__zenlong_08_F_nonNative/vc_v2_fg_s3_zenlong_08_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s3_zenlong_08_F_nonNative_1.0_10_0.7.wav,3.15,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s3__zenlong_08_F_nonNative/vc_v2_fg_s3_zenlong_08_F_nonNative_1.0_10_0.7.wav
fg_s3__zenlong_09_F_nonNative/vc_v2_fg_s3_zenlong_09_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s3_zenlong_09_F_nonNative_1.0_10_0.7.wav,3.15,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s3__zenlong_09_F_nonNative/vc_v2_fg_s3_zenlong_09_F_nonNative_1.0_10_0.7.wav
fg_s4__zenlong_03_F_native/vc_v2_fg_s4_zenlong_03_F_native_1.0_10_0.7.wav,vc_v2_fg_s4_zenlong_03_F_native_1.0_10_0.7.wav,2.89,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s4__zenlong_03_F_native/vc_v2_fg_s4_zenlong_03_F_native_1.0_10_0.7.wav
fg_s4__zenlong_07_F_native/vc_v2_fg_s4_zenlong_07_F_native_1.0_10_0.7.wav,vc_v2_fg_s4_zenlong_07_F_native_1.0_10_0.7.wav,2.89,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s4__zenlong_07_F_native/vc_v2_fg_s4_zenlong_07_F_native_1.0_10_0.7.wav
fg_s4__zenlong_08_F_nonNative/vc_v2_fg_s4_zenlong_08_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s4_zenlong_08_F_nonNative_1.0_10_0.7.wav,2.89,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s4__zenlong_08_F_nonNative/vc_v2_fg_s4_zenlong_08_F_nonNative_1.0_10_0.7.wav
fg_s4__zenlong_09_F_nonNative/vc_v2_fg_s4_zenlong_09_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s4_zenlong_09_F_nonNative_1.0_10_0.7.wav,2.89,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s4__zenlong_09_F_nonNative/vc_v2_fg_s4_zenlong_09_F_nonNative_1.0_10_0.7.wav
fg_s5__zenlong_03_F_native/vc_v2_fg_s5_zenlong_03_F_native_1.0_10_0.7.wav,vc_v2_fg_s5_zenlong_03_F_native_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s5__zenlong_03_F_native/vc_v2_fg_s5_zenlong_03_F_native_1.0_10_0.7.wav
fg_s5__zenlong_07_F_native/vc_v2_fg_s5_zenlong_07_F_native_1.0_10_0.7.wav,vc_v2_fg_s5_zenlong_07_F_native_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s5__zenlong_07_F_native/vc_v2_fg_s5_zenlong_07_F_native_1.0_10_0.7.wav
fg_s5__zenlong_08_F_nonNative/vc_v2_fg_s5_zenlong_08_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s5_zenlong_08_F_nonNative_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s5__zenlong_08_F_nonNative/vc_v2_fg_s5_zenlong_08_F_nonNative_1.0_10_0.7.wav
fg_s5__zenlong_09_F_nonNative/vc_v2_fg_s5_zenlong_09_F_nonNative_1.0_10_0.7.wav,vc_v2_fg_s5_zenlong_09_F_nonNative_1.0_10_0.7.wav,3.05,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/fg_s5__zenlong_09_F_nonNative/vc_v2_fg_s5_zenlong_09_F_nonNative_1.0_10_0.7.wav
mprobe_s1__zenlong_02_M_nonNative/vc_v2_mprobe_s1_zenlong_02_M_nonNative_1.0_10_0.7.wav,vc_v2_mprobe_s1_zenlong_02_M_nonNative_1.0_10_0.7.wav,2.86,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/mprobe_s1__zenlong_02_M_nonNative/vc_v2_mprobe_s1_zenlong_02_M_nonNative_1.0_10_0.7.wav
mprobe_s1__zenlong_04_M_nonNative/vc_v2_mprobe_s1_zenlong_04_M_nonNative_1.0_10_0.7.wav,vc_v2_mprobe_s1_zenlong_04_M_nonNative_1.0_10_0.7.wav,2.86,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/mprobe_s1__zenlong_04_M_nonNative/vc_v2_mprobe_s1_zenlong_04_M_nonNative_1.0_10_0.7.wav
mprobe_s1__zenlong_11_M_native/vc_v2_mprobe_s1_zenlong_11_M_native_1.0_10_0.7.wav,vc_v2_mprobe_s1_zenlong_11_M_native_1.0_10_0.7.wav,2.86,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/mprobe_s1__zenlong_11_M_native/vc_v2_mprobe_s1_zenlong_11_M_native_1.0_10_0.7.wav
mprobe_s2__zenlong_02_M_nonNative/vc_v2_mprobe_s2_zenlong_02_M_nonNative_1.0_10_0.7.wav,vc_v2_mprobe_s2_zenlong_02_M_nonNative_1.0_10_0.7.wav,2.88,22050,1,/home6/s5332370/projects/child_voice_pilot/converted_audio/zenodo_final_m2m_f2f_v1/mprobe_s2__zenlong_02_M_nonNative/vc_v2_mprobe_s2_zenlong_02_M_nonNative_1.0_10_0.7.wav
